EXERCISE_NAME, URL
FLAT dumbbell press, https://user-images.githubusercontent.com/5364500/147852734-3449043c-f34f-4447-8106-9cfcc85b3290.png
FLAT dumbbell press Hammer grip, https://user-images.githubusercontent.com/5364500/147852773-56f29358-ca7e-4c21-b0ff-a8ec1b584709.jpg
INCLINE dumbbell press, https://user-images.githubusercontent.com/5364500/147852798-4b464b5e-b5f3-496b-86b6-aea4a8dfca23.jpg
INCLINE dumbbell press Hammer grip, https://user-images.githubusercontent.com/5364500/147852773-56f29358-ca7e-4c21-b0ff-a8ec1b584709.jpg
DECLINE dumbbell press, https://user-images.githubusercontent.com/5364500/147852815-4ce10f87-bfe9-432e-8b00-a74883f9d50b.jpg
DECLINE dumbbell press Hammer grip, https://user-images.githubusercontent.com/5364500/147852830-23b752fb-2062-4693-bc9e-15ceecd9fce6.jpg
Push ups, https://user-images.githubusercontent.com/5364500/147852946-adf3cee4-15ac-4f17-a9d4-2f7fd4140544.jpg
