EXERCISE_NAME, URL
Dumbbell curl, https://user-images.githubusercontent.com/5364500/147853934-d8bc2934-e579-4e80-9af9-1989096d52e9.jpg
Dumbbell preacher curl, https://user-images.githubusercontent.com/5364500/147853947-173926c5-5214-4bc2-b854-aecb7ce7234c.jpg
Incline dumbbell curl, https://user-images.githubusercontent.com/5364500/147853963-586a27a2-409d-4d39-b1da-9b3187554767.jpg
Dumbbell hammer curl, https://user-images.githubusercontent.com/5364500/147853944-7fbddf23-9641-4f71-9a31-09e95a56b0ed.jpg
Dumbbell crossbody hammer curl, https://user-images.githubusercontent.com/5364500/147853938-9adc1291-0d59-475c-8cb8-99f6875faee8.jpg
Dumbbell peacher hammer curl, https://user-images.githubusercontent.com/5364500/147853954-b4fb43b9-2999-47f4-8450-b9f9fb60f644.jpg
