EXERCISE_NAME, URL
Triceps bench dips, https://user-images.githubusercontent.com/5364500/147853158-e67d4b0e-1071-4d30-b353-6ebf37f0b776.jpg
OverHead extension, https://user-images.githubusercontent.com/5364500/147853162-a989a280-96cc-4734-9cb6-54cfee4b01a7.jpg
Incline extension, https://user-images.githubusercontent.com/5364500/147853160-9070ebbe-6380-41d8-9a9e-53057b95d6b3.jpg
Dumbbell triceps extension, https://user-images.githubusercontent.com/5364500/147853161-0e768d65-3215-4887-9686-ae7a622d2a87.jpg
Dumbbell Kick back, https://user-images.githubusercontent.com/5364500/147853159-53f0e572-008f-43b8-87c0-8843c3e1c6f9.jpg
