EXERCISE_NAME, URL
Dumbbell press, https://user-images.githubusercontent.com/5364500/147854982-3f754c2c-42f4-47b5-962e-599244a3c1bd.jpg
Dumbbell overhead press, https://user-images.githubusercontent.com/5364500/147854996-a650bf62-3f19-4334-9bb8-67ff2cc921bd.jpg
Dumbbell front raise, https://user-images.githubusercontent.com/5364500/147854987-a03a6cb9-6a89-4a78-bfe0-e7f00acfe0b0.jpg
Dumbbell front raise 2, https://user-images.githubusercontent.com/5364500/147854993-4d62d39b-02a0-4aad-a691-53d148f54043.jpg
Dumbbell lateral raise, https://user-images.githubusercontent.com/5364500/147854970-d9d95b4d-56fe-4e54-a998-5bc758662c4a.jpg
Dumbbell lateral raise 2, https://user-images.githubusercontent.com/5364500/147854971-307e5048-d030-49e6-8cd1-46d4a4228924.jpg
